userid,logins_m_1,logins_m_2,logins_m_3,logins_m_4,logins_m_5,logins_m_6,logins_m_7,touserid,kudos_t_m_1,kudos_t_m_2,kudos_t_m_3,kudos_t_m_4,kudos_t_m_5,kudos_t_m_6,kudos_t_m_7,fromuserid,kudos_f_m_1,kudos_f_m_2,kudos_f_m_3,kudos_f_m_4,kudos_f_m_5,kudos_f_m_6,kudos_f_m_7,userid_0,kpi_m_1,kpi_m_2,kpi_m_3,kpi_m_4,kpi_m_5,kpi_m_6,kpi_m_7,userid_1,lrn_m_1,lrn_m_2,lrn_m_3,lrn_m_4,lrn_m_5,lrn_m_6,lrn_m_7,userid_2,lrn_t_m_1,lrn_t_m_2,lrn_t_m_3,lrn_t_m_4,lrn_t_m_5,lrn_t_m_6,lrn_t_m_7
13995,87,47,35,31,72,20,36,,,,,,,,,,,,,,,,,13995,29,25,20,22,26,18,24,13995,,25.000,,,,,,13995,,2,,,,,
20598,249,217,410,280,242,139,162,20598,,,,1,,,4,,,,,,,,,20598,19,19,26,31,17,12,11,20598,,25.000,,,28.125,,20.000,20598,,1,,,25,,8
25567,,,,,7,15,,,,,,,,,,,,,,,,,,25567,,,,,1,5,0,25567,,,,,,25.000,,25567,,,,,,3,
25534,,,,,27,35,,,,,,,,,,,,,,,,,,25534,,,,,0,13,0,25534,,,,,,12.500,,25534,,,,,,3,
25268,,,,,19,76,151,25268,,,,,,,1,,,,,,,,,25268,,,,0,9,17,8,25268,,,,,,,22.333,25268,,,,,,,33
24648,,,40,321,685,478,365,,,,,,,,,,,,,,,,,24648,,,24,14,25,26,28,24648,,,,38.333,18.888,,,24648,,,,35,19,,
26353,,,,,,,114,26353,,,,,,,1,,,,,,,,,26353,,,,,,0,16,26353,,,,,,,9.285,26353,,,,,,,11
17646,188,331,177,226,273,67,,17646,,,,1,,,,17646,,,,,,1,,17646,13,23,22,17,22,4,2,17646,,,,23.750,,,,17646,,,,8,,,
20398,292,361,434,179,73,237,388,,,,,,,,,,,,,,,,,20398,32,33,37,18,34,23,33,20398,,,,,,,28.333,20398,,,,,,,68
26108,,,,,,,29,,,,,,,,,,,,,,,,,26108,,,,,,0,21,26108,,,,,,,11.666,26108,,,,,,,34
23105,419,231,203,178,260,242,316,,,,,,,,,,,,,,,,,23105,40,23,25,26,29,25,32,23105,,,,,,,20.000,23105,,,,,,,3
23553,226,124,105,4,,,,,,,,,,,,,,,,,,,,23553,13,6,8,0,0,0,,23553,,,35.833,,,,,23553,,,8,,,,
25393,,,,38,87,65,295,25393,,,,,,3,1,25393,,,,,,5,,25393,,,,7,22,21,31,25393,,,,,,,12.619,25393,,,,,,,45
17909,451,133,64,84,41,5,,17909,1,,,,,,,,,,,,,,,17909,28,27,19,13,15,10,0,17909,,,,9.285,,,,17909,,,,12,,,
7516,118,39,2,52,47,,,,,,,,,,,,,,,,,,,7516,18,9,0,12,13,2,0,7516,22.000,,,,,,,7516,3,,,,,,
24135,112,528,160,56,,,,,,,,,,,,,,,,,,,,24135,12,36,25,20,0,0,0,24135,25.000,22.500,,,,,,24135,2,5,,,,,
20231,135,57,66,81,137,183,107,,,,,,,,,,,,,,,,,20231,23,18,22,16,23,19,19,20231,,,,24.000,,,,20231,,,,16,,,
26064,,,,,,,95,,,,,,,,,,,,,,,,,26064,,,,,,0,4,26064,,,,,,,15.000,26064,,,,,,,7
14536,200,118,88,241,84,135,30,14536,,1,,,,2,,,,,,,,,,14536,19,8,6,17,3,12,4,14536,,,,31.000,,,,14536,,,,58,,,
24219,62,62,,,,,,,,,,,,,,,,,,,,,,24219,0,19,0,0,,,,24219,3.125,,,,,,,24219,10,,,,,,
23873,162,170,167,84,63,62,15,,,,,,,,,,,,,,,,,23873,8,19,13,7,9,8,3,23873,25.000,20.000,33.125,22.500,,,,23873,2,7,25,4,,,
