userid,logins_m_1,logins_m_2,logins_m_3,logins_m_4,touserid,kudos_t_m_1,kudos_t_m_2,kudos_t_m_3,kudos_t_m_4,fromuserid,kudos_f_m_1,kudos_f_m_2,kudos_f_m_3,kudos_f_m_4,userid_0,kpi_m_1,kpi_m_2,kpi_m_3,kpi_m_4,userid_1,lrn_m_1,lrn_m_2,lrn_m_3,lrn_m_4,userid_2,lrn_t_m_1,lrn_t_m_2,lrn_t_m_3,lrn_t_m_4
21241,529,652,464,338,,,,,,,,,,,21241,27,35,28,24,21241,,28.846,0.000,,21241,,32,4,
14704,34,44,140,37,,,,,,,,,,,14704,14,28,24,20,14704,,,28.333,15.000,14704,,,57,2
26148,,25,121,170,,,,,,,,,,,26148,,0,6,27,26148,,25.000,12.272,31.250,26148,,7,18,15
25849,3,102,328,283,,,,,,,,,,,25849,0,10,24,20,25849,,,19.000,25.000,25849,,,7,5
17176,230,475,361,432,17176,,1,1,,,,,,,17176,15,24,31,34,17176,25.000,20.500,10.000,11.250,17176,5,30,1,7
24798,359,364,226,152,24798,3,,2,,,,,,,24798,24,24,26,19,24798,22.500,19.090,9.500,,24798,6,49,3,
23231,698,381,396,424,23231,,1,,,,,,,,23231,34,31,36,31,23231,,28.500,15.000,13.333,23231,,21,12,12
25020,70,52,67,,25020,6,,,,,,,,,25020,17,19,15,5,25020,12.500,21.250,10.769,,25020,4,16,23,
23197,161,255,143,207,,,,,,,,,,,23197,18,22,23,25,23197,12.777,30.625,5.000,6.250,23197,11,16,4,5
24651,131,61,,,,,,,,,,,,,24651,9,6,0,0,24651,19.444,40.000,,,24651,19,20,,
14397,593,384,634,316,,,,,,,,,,,14397,32,24,37,25,14397,15.000,20.000,27.916,5.000,14397,9,2,43,5
20576,608,378,205,142,,,,,,20576,2,,,,20576,37,28,22,11,20576,28.750,21.250,40.000,27.777,20576,7,8,2,12
12018,101,146,122,160,12018,2,,,,,,,,,12018,26,26,18,32,12018,25.000,25.000,28.529,20.000,12018,1,1,28,2
25618,47,163,139,62,,,,,,,,,,,25618,4,14,18,18,25618,16.250,13.736,10.000,,25618,5,29,2,
12221,90,70,125,45,12221,,,1,,,,,,,12221,26,26,25,17,12221,17.857,17.500,15.000,0.000,12221,11,9,15,1
25699,58,360,461,153,,,,,,,,,,,25699,5,25,30,14,25699,,15.384,0.000,,25699,,20,4,
9807,23,63,55,34,9807,,2,,,9807,,3,,,9807,13,18,12,14,9807,,,10.000,0.000,9807,,,2,5
25712,11,141,148,259,,,,,,,,,,,25712,0,5,16,32,25712,25.000,22.000,,16.250,25712,3,25,,14
21217,129,95,177,87,,,,,,,,,,,21217,27,20,25,21,21217,,,36.363,,21217,,,66,
17634,212,275,400,10,17634,2,,1,,,,,,,17634,28,30,34,9,17634,,,25.000,,17634,,,34,
6275,181,118,270,126,,,,,,,,,,,6275,23,22,25,19,6275,,,24.473,,6275,,,54,
12678,710,1298,770,765,12678,10,16,,1,12678,16,15,8,10,12678,43,48,38,48,12678,12.500,30.000,,5.000,12678,3,5,,13
26019,,127,301,194,,,,,,,,,,,26019,0,5,31,26,26019,,23.333,10.000,17.000,26019,,17,4,17
24990,105,63,40,86,,,,,,,,,,,24990,13,3,1,3,24990,14.500,25.000,10.000,10.000,24990,27,6,7,6
24240,632,396,384,555,,,,,,,,,,,24240,15,17,14,16,24240,24.000,,24.000,29.090,24240,6,,39,84
20814,244,216,173,147,20814,,,1,1,,,,,,20814,33,27,29,34,20814,26.923,17.500,20.000,15.000,20814,49,16,7,23
13935,68,119,215,105,,,,,,13935,,,1,,13935,27,31,31,29,13935,,,15.500,,13935,,,57,
9324,292,188,388,414,,,,,,,,,,,9324,25,16,28,37,9324,,20.833,11.250,,9324,,10,12,
25135,214,389,124,200,25135,,5,1,1,25135,,7,,2,25135,22,27,21,39,25135,25.000,26.666,,25.000,25135,1,7,,1
